tip_label,Leaf_type_code
Odontites_bolligeri,2
Odontites_bocconei,2
Odontites_maroccanus,2
Odontites_cebennensis,4
Odontites_lanceolatus,4
Odontites_corsicus,2
Odontites_vernus,2
Odontites_aucheri,5
Odontites_longiflorus,2
Tozzia_alpina,4
Nothobartsia_spicata,4
Nothobartsia_asperrima,4
Odontitella_virgata,2
Hedbergia_decurva,4
Hedbergia_longiflora,4
Hedbergia_abyssinica,4
Euphrasia_rostkoviana,4
Euphrasia_picta,4
Euphrasia_disjuncta,4
Euphrasia_oakesii,4
Euphrasia_dinarica,4
Euphrasia_officinalis,4
Euphrasia_arctica,4
Euphrasia_nemorosa,4
Euphrasia_mollis,4
Euphrasia_salisburgensis,4
Euphrasia_christii,4
Euphrasia_bella,4
Euphrasia_callosa,4
Euphrasia_cuneata,4
Euphrasia_insignis,4
Euphrasia_philippinensis,4
Euphrasia_transmorrisonensis,4
Omphalotrix_longipes,4
Euphrasia_borneensis,4
Euphrasia_taurica,4
Euphrasia_petiolaris,4
Euphrasia_tricuspidata,4
Euphrasia_azorica,4
Euphrasia_formosissima,4
Euphrasia_chrysantha,4
Euphrasia_antarctica,4
Bartsia_alpina,4
Rhinanthus_kyrollae,4
Rhinanthus_glaber,4
Rhinanthus_crista_galli,4
Rhinanthus_serotinus,4
Rhinanthus_alectorolophus,4
Lathraea_japonica,2
Lathraea_clandestina,2
Lathraea_squamaria,2
Rhynchocorys_maxima,4
Rhynchocorys_kurdica,2
Rhynchocorys_orientalis,4
Melampyrum_italicum,2
Melampyrum_lineare,2
Melampyrum_nemorosum,2
Melampyrum_arvense,2
Melampyrum_cristatum,2
Melampyrum_setaceum,2
Melampyrum_klebelsbergianum,2
Melampyrum_pratense,2
Pterygiella_duclouxii,2
Pterygiella_nigrescens,5
Pterygiella_tenuisecta,3
Pseudobartsia_glandulosa,3
Xizangia_bartsioides,4
Parasopubia_delphiniifolia,3
Brandisia_scandens,2
Brandisia_chevalieri,2
Brandisia_discolor,2
Brandisia_swinglei,2
Brandisia_kwangsiensis,2
Brandisia_glabrescens,2
Brandisia_hancei,2
Brandisia_racemosa,4
Brandisia_cauliflora,2
Brandisia_rosea,4
Aphyllon_arizonicum,1
Aphyllon_riparium,1
Aphyllon_ludovicianum,1
Aphyllon_multiflorum,1
Aphyllon_vallicola,1
Aphyllon_parishii,1
Aphyllon_californicum,1
Aphyllon_cooperi,1
Aphyllon_tuberosum,1
Aphyllon_uniflorum,1
Orobanche_lutea,1
Orobanche_caryophyllacea,1
Orobanche_minor,1
Orobanche_hederae,1
