Leaf_plate_ID,POWO_ standardized_names,Phylogeny_tip,Solidity,Circularity,Ellipticalness_Index,width_bbx_mm,length_bbx_mm,Aspect_ratio_width/length,area_mm,elevation,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,average_VNE,average_VNN,average_VFE,average_VFEratio,average_Valpha,average_VTotL,average_VLoopL,average_VTreeL,average_VTotW,average_VLoopW,average_VTreeW,average_TotA,average_TotPA,average_VTotLD,average_VLoopLD,average_VTreeLD,average_VTotVD,average_VLoopVD,average_VTreeVD,average_VNND,average_VTotavLen,average_VTotmdLen,average_VTotsdLen,average_VLoopavLen,average_VLoopmdLen,average_VLoopsdLen,average_VTreeavLen,average_VTreemdLen,average_VTreesdLen,average_VTotavWid,average_VTotmdWid,average_VTotsdWid,average_VLoopavWid,average_VLoopmdWid,average_VLoopsdWid,average_VTreeavWid,average_VTreemdWid,average_VTreesdWid,average_VTotavSAr,average_VTotmdSAr,average_VTotsdSAr,average_VLoopavSAr,average_VLoopmdSAr,average_VLoopsdSAr,average_VTreeavSAr,average_VTreemdSAr,average_VTreesdSAr,average_VTotavVol,average_VTotmdVol,average_VTotsdVol,average_VLoopavVol,average_VLoopmdVol,average_VLoopsdVol,average_VTreeavVol,average_VTreemdVol,average_VTreesdVol,average_VavTor,average_VmdTor,average_VsdTor,average_VavOri,average_VsdOri,average_NavBD0,average_NmdBD0,average_NsdBD0,average_NavBD1,average_NmdBD1,average_NsdBD1,average_NavBD2,average_NmdBD2,average_NsdBD2,average_NavA10,average_NsdA10,average_NavA20,average_NsdA20,average_NavA21,average_NsdA21,average_ATA,average_ANN,average_AloopND,average_AavAre,average_AmdAre,average_AsdAre,average_AavEcc,average_AmdEcc,average_AsdEcc,average_AavMaj,average_AmdMaj,average_AsdMaj,average_AavMin,average_AmdMin,average_AsdMin,average_AavPer,average_AmdPer,average_AsdPer,average_AavElg,average_AmdElg,average_AsdElg,average_AavCir,average_AmdCir,average_AsdCir,average_AavRgh,average_AmdRgh,average_AsdRgh,average_AavOri,average_AsdOri,average_AavCnA,average_AmdCnA,average_AsdCnA,average_AavSld,average_AmdSld,average_AsdSld,average_AavDav,average_AmdDav,average_AsdDav,average_AavDmx,average_AmdDmx,average_AsdDmx,average_PTA,average_PNN,average_PloopND,average_PavAre,average_PmdAre,average_PsdAre,average_PavEcc,average_PmdEcc,average_PsdEcc,average_PavMaj,average_PmdMaj,average_PsdMaj,average_PavMin,average_PmdMin,average_PsdMin,average_PavPer,average_PmdPer,average_PsdPer,average_PavElg,average_PmdElg,average_PsdElg,average_PavCir,average_PmdCir,average_PsdCir,average_PavRgh,average_PmdRgh,average_PsdRgh,average_PavOri,average_PsdOri,average_PavCnA,average_PmdCnA,average_PsdCnA,average_PavSld,average_PmdSld,average_PsdSld,average_PavDav,average_PmdDav,average_PsdDav,average_PavDmx,average_PmdDmx,average_PsdDmx
herbarium_images_GBIF,Lamourouxia viscosa,Lamourouxia_viscosa,0.90165,0.5652675,0.90030125,15.54280196,46.80996569,0.319059119,504.9284871,872.444444,21.9995369,9.6546295,77.5348943,69.2860434,28.6777778,16.2333334,12.4444444,21.7259259,22.0777777,22.9537038,21.2222222,2430.22222,451.666667,16.8888889,76.4848056,1154.22222,87.3333333,390.444444,630.777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Lindenbergia grandiflora,Lindenbergia_grandiflora,0.766614,0.386076,0.623948,26.4676617,91.04477608,0.282788604,1300.05136,1377.79167,17.992882,10.9531252,47.1760325,461.75022,28.3000002,5.02916672,23.2708337,22.4909724,12.352778,22.6645835,11.5604168,1949,488.583333,7.95833333,104.94991,1238.83333,48.0416667,1159,66.0416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Lindenbergia philippensis,Lindenbergia_philippensis,0.79277,0.516682,0.63583,47.6568431,113.124209,0.414361484,2646.352285,923.131579,22.0561404,10.4260965,52.6678014,291.331813,31.222368,10.8407895,20.3815787,24.0489035,18.3081141,25.1342105,18.0530702,1287.56579,260.105263,8.71052632,83.5744584,671.855263,38.6447368,435.026316,56.3552632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Orthocarpus tolmiei,Orthocarpus_tolmiei,0.386693846,0.083012769,0.813683077,3.836562439,30.70528806,0.045118235,26.73102822,2852.5,2.07708335,12.7374997,38.1360836,746.617676,21.25,-12.15,33.4000015,1.46666694,-0.925,11.8416662,-6.1583333,448.5,43.5,30.5,11.2922802,125.5,97,114.5,112.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Paulownia fortunei,Paulownia_fortunei,0.7875225,0.6171375,0.649275,149.5131356,238.7498033,0.59216638,18127.40843,376.127907,18.0677649,8.16595606,31.426709,689.419944,30.9732557,4.14767441,26.8255812,23.0682172,11.0456072,26.0556847,9.17887597,1490.56589,258.813953,36.4844961,62.0207163,692.046512,132.984496,594.22093,161.465116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Paulownia tomentosa,Paulownia_tomentosa,0.717319055,0.418229045,0.766995529,36.54175374,80.30641415,0.302585028,25151.85375,239.174795,11.1222567,9.5613186,32.818448,738.701191,26.5823633,-2.6709394,29.2533028,16.3821517,4.86038189,20.1922008,2.02217458,994.199476,118.120982,53.6653355,25.6484184,325.63928,181.34108,297.511751,200.799018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Rehmannia glutinosa,Rehmannia_glutinosa,0.856682,0.496844,0.713606,50.59035728,146.022765,0.342631804,4029.11302,425.899115,12.49885691,10.83594397,29.07885903,999.0498235,30.04371673,-7.33592922,37.37964591,23.37988194,-0.223244853,24.28828905,-0.382536883,689.8070796,165.7168142,8.548672566,97.60552176,396.8530973,31.60884956,378.4,34.34336283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Rehmannia henryi,Rehmannia_henryi,0.711162,0.47255,0.61069,37.69722816,89.08315572,0.419023298,1536.59967,514.2272727,15.08143932,8.787878817,27.67429681,839.6498774,30.64545449,-0.936363633,31.58181832,23.81212148,4.511363604,25.17575784,4.424999963,1142.227273,200.1363636,19.45454545,66.11080239,520.2727273,69.54545455,497.3181818,70.18181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
herbarium_images_GBIF,Rehmannia piasezkii,Rehmannia_piasezkii,,,,,,,,608.875,14.51992184,9.570572853,30.83760554,817.5584173,29.80625004,-1.721874991,31.52812523,22.80416662,4.507291671,24.32552078,4.104166668,948.875,172.25,15.59375,69.10531759,439.78125,56.71875,406.875,63.5625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,Bungea vesiculifera,Bungea_trifida,0.688523333,0.158475,0.965453333,2.326487448,19.07942338,0.070785203,19.51505442,902.666667,10.582639,12.4333333,30.3148147,1049.93652,32.7500003,-8.3833334,41.1333338,9.77222228,22.2652775,23.4888891,-2.4152778,414.833333,62.8333333,5.83333333,53.6120834,162.5,27.5833333,37.4166667,127.916667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
